Model,Threshold,AUC-ROC,PR-AUC,Accuracy,F1_weighted,F1_positive,Precision_positive,Recall_positive
XGBoost,0.53,0.632,0.3607,0.6033,0.6344,0.3977,0.304,0.5748
Logistic Regression,0.06,0.5525,0.2778,0.2284,0.087,0.3706,0.2276,0.9968
Decision Tree,0.34,0.5645,0.2863,0.4061,0.4235,0.3679,0.2428,0.7585
Random Forest,0.47,0.5791,0.2999,0.4712,0.5054,0.366,0.2518,0.6698
