feature,mean_abs_shap
total_visits,0.1970626
number_diagnoses,0.10905273
age,0.090443514
diabetesMed,0.07906909
source_Emergency_Room,0.07632291
time_in_hospital,0.07439805
number_inpatient,0.074292906
num_medications,0.069727115
num_procedures,0.06840576
has_circulatory,0.05335506
num_lab_procedures,0.05232984
metformin_active,0.05137211
has_diabetes,0.03947204
A1Cresult_enc,0.038906828
adm_type_Other,0.03554381
source_Hospital_Transfer,0.031086747
discharge_Home,0.028868308
insulin_active,0.02595066
adm_type_Urgent,0.024957981
race_Other,0.024555374
adm_type_Emergency,0.023490714
gender,0.023457639
discharge_Home_Health,0.023340737
num_real_conditions,0.020453416
number_emergency,0.019962376
adm_type_Elective,0.019926285
num_active_meds,0.016878396
has_injury,0.015638795
source_Physician_Referral,0.015557944
num_med_changes,0.015318332
discharge_Rehab_Facility,0.012879811
has_musculoskeletal,0.012013762
race_Caucasian,0.011460735
has_genitourinary,0.011243486
source_Health_Facility_Transfer,0.0109285535
has_neoplasms,0.010728739
insulin_decrease,0.009757783
discharge_Skilled_Nursing,0.008931758
number_outpatient,0.0078283455
max_glu_serum_enc,0.0072128577
has_respiratory,0.0065081245
source_Clinic_Referral_Transfer,0.0064041703
discharge_Other_Care,0.0051287296
race_African American,0.0048376517
discharge_Transfer_Other,0.004722816
source_Clinic_Referral,0.004151661
insulin_increase,0.0033382594
has_other,0.0033056017
source_Transfer_SNF,0.0030457093
has_digestive,0.002873891
change,0.0026535685
discharge_Short_Hospital,0.0023456058
discharge_Other,0.0022967907
discharge_Emergency_Transfer,0.0015628551
metformin_increase,0.0014228979
discharge_Other_Facility,0.0009062574
discharge_Hospital_Transfer,0.0006799583
metformin_decrease,0.00039180892
source_Other,0.00020370987
